COHORT: META-GROUP2; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	4.8620780357328375	1.1615980895924567e-06	5.934944110900298	0.013579	0.0214830395852572	0.000258426	15.0	16.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DSEL	4.531373245569184	5.860149481621176e-06	5.232091305788184	0.0124232	0.030819045993025	0.00142626	22.0	77.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DLEU7	4.0767310368592975	4.567327223861572e-05	4.3403378724686394	0.00979373	0.080086249114731	0.00637429	6.0	13.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
TMEM9B	3.8794068447029133	0.00010471149222092321	3.9800056513274904	NA	0.0010257315461657	0.027599	NA	18.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DLEU7-AS1	3.7553871443174947	0.0001730737367217323	3.761768829653161	0.00979373	NA	0.00637429	6.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
PSG7	3.731838470286305	0.00019008738229099302	3.7210467099797033	0.00637805	0.297172683720856	0.00706998	22.0	85.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NOCT	3.6540974147835223	0.00025808827245031276	3.588231729380314	0.0804903	0.0043972735851805	0.0830815	8.0	25.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
ELN	3.636731619078935	0.0002761193598130274	3.5589031422009847	0.0874368	0.0265463098548336	0.0177015	29.0	73.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
STK38L	3.6186137755105636	0.0002961852811525541	3.528436527425395	NA	0.0001667716361832	0.176111	NA	11.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
TAAR6	3.598134625746939	0.0003205077134555867	3.4941615141299147	0.0185719	0.0380615570903069	0.0712393	13.0	39.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NOP53	3.5936567949327847	0.0003260692790467861	3.4866901167688735	0.0125628	NA	0.00970228	28.0	NA	47.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
KIF9	3.590202696172603	0.00033042091461357796	3.48093247099513	0.484807	0.575329793399795	7.06372e-07	25.0	82.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
EP400	3.5676404832960804	0.0003602102665904804	3.443443913226501	0.062221	0.0963055962457143	0.00801166	62.0	295.0	175.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
MAP3K6	-3.4545037212075353	0.0005513066079907805	3.258606802012417	0.0506422	0.0362091526394876	0.0530755	36.0	111.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
BOLA1	3.4134482624362805	0.0006414633689398719	3.192828139166694	0.180798	0.0013173145056984	0.173267	3.0	15.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
KCNK4	3.3923447787672716	0.0006929718256154736	3.1592844222835303	0.0113577	0.124818449512028	0.0703953	14.0	45.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
ERCC8	-3.366541822682783	0.0007611703912596345	3.1185181136622804	0.0630826	0.0353188936519581	0.0617995	9.0	34.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NPBWR1	3.3042750501433993	0.0009522235949644438	3.0212610614291395	0.193221	0.187699294744022	0.00190503	4.0	29.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
FAM186B	3.296591815375046	0.0009786562053452036	3.009369845831012	0.0301275	0.0013922024979948	0.729948	29.0	81.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
IGSF9	3.2925731151903155	0.000992750812604527	3.0031597487772825	0.0189265	0.0348183997385051	0.212962	28.0	107.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
C11orf63	3.2735006100423565	0.0010622416134898967	2.9737766890258692	NA	0.0010622416134898	NA	NA	68.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
ABCC9	3.267879576647883	0.0010835645937077175	2.9651451943075515	0.257296	0.0170449934197614	0.0322263	12.0	58.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DCAF1	-3.2610951303661384	0.0011098279924468175	2.9547443254653807	0.616782	0.0002538026319691	0.136336	10.0	66.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
MXD1	3.2545435920804793	0.001135747282959362	2.9447182934718814	0.023364	0.133877290837067	0.0613978	8.0	16.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DPYSL4	3.2535371525130583	0.0011397781999079877	2.9431796538635107	0.0145918	0.146747130032951	0.0815406	18.0	55.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
 
COHORT: META-GROUP2; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.660677562687038	1.8495467933202062e-14	13.732934676609371	1.21058e-05	1.23743257136136e-07	0.000312011	17.0	18.0	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
LSR	4.212103283192935	2.530038057742483e-05	4.596872945961241	0.050274	0.0172658535488151	0.00310709	25.0	72.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
EEA1	4.197900355406155	2.6940111425038466e-05	4.56960061235545	0.605938	0.0384040900142764	2.80507e-06	27.0	84.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
DLEU7	4.0767310368592975	4.567327223861572e-05	4.3403378724686394	0.00979373	0.080086249114731	0.00637429	6.0	13.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
RNF114	4.048936792968685	5.145083671914112e-05	4.288607558130876	0.168915	0.0002560120421331	0.0475803	9.0	23.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
TMEM9B	3.8794068447029133	0.00010471149222092321	3.9800056513274904	NA	0.0010257315461657	0.027599	NA	18.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
DLEU7-AS1	3.7553871443174947	0.0001730737367217323	3.761768829653161	0.00979373	NA	0.00637429	6.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
NUP210	3.752439951735348	0.0001751217869893205	3.7566598197610395	0.0708268	0.0149254576408459	0.0239062	59.0	199.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
SNX27	-3.707816647192864	0.00020905392901848137	3.6797416657839284	0.00239329	0.189380339023877	0.0381537	9.0	26.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
STK38L	3.6186137755105636	0.0002961852811525541	3.528436527425395	NA	0.0001667716361832	0.176111	NA	11.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
LRRK2	3.585262395091772	0.00033673946534124114	3.4727059819917088	0.0024996	0.0502074479199019	0.219341	56.0	179.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
HSPA1L	-3.559473624405992	0.00037159884963527257	3.429925639128952	0.0247139	0.0913506985527003	0.0256791	15.0	45.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	3.3584257458600333	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
DSEL	3.445618892244423	0.0005697532710257144	3.2443131728007857	0.0627001	0.044048192483626	0.0363449	25.0	80.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
GCNT2	-3.419933399018605	0.0006263646878780049	3.2031727341749026	0.0728801	0.0480792745810491	0.0312992	29.0	117.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
NIPA2	3.418064038926297	0.0006306826585424768	3.2001891103462254	0.129733	0.103614211177783	0.00547746	5.0	23.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
UMODL1	-3.390371167047166	0.0006979805256392217	3.1561566944619557	0.0157957	0.0317920839346485	0.189626	68.0	180.0	136.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
CENPF	-3.3482367617037485	0.0008132750039919797	3.089762575536044	0.137671	0.191548919272409	0.00262304	75.0	251.0	136.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
GPLD1	-3.337437902931062	0.0008455461367399985	3.0728626903903877	0.0442526	0.0252248900122233	0.125776	30.0	90.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
AGAP14P	3.287773486285212	0.001009830532456643	2.995751502449231	NA	NA	0.00100982	NA	NA	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
ABCC9	3.267879576647883	0.0010835645937077175	2.9651451943075515	0.257296	0.0170449934197614	0.0322263	12.0	58.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
DCAF1	-3.2610951303661384	0.0011098279924468175	2.9547443254653807	0.616782	0.0002538026319691	0.136336	10.0	66.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
DLL4	3.2300209109487197	0.0012378116442777472	2.9073454361513766	0.212619	0.003151278857534	0.162842	12.0	48.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
SLC39A7	-3.225388278959682	0.00125801924976349	2.900312713420082	0.178547	0.0058162629487339	0.137987	8.0	35.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
PSG7	3.222515335946073	0.0012707036317675142	2.8959557288295947	0.00637805	0.872611611146686	0.00706998	22.0	89.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	META-GROUP2
 
COHORT: META-GROUP2; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	3.9500810713215353	7.812472660793503e-05	4.107211489428642	NA	0.0111847897236652	0.00229306	NA	6.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
B3GNT3	3.5058792035349544	0.00045510171254698807	3.3418915302411185	NA	0.0004551017125469	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
ULK4	3.1207037974924154	0.0018041940869122745	2.743716744875543	NA	0.253991440943902	0.00106552	NA	17.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
SLC17A1	-3.0424023102767035	0.0023469798374390616	2.629490641345834	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP2
