GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
AUNIP,1.5413557333370727e-08,,0.0229353327748248,3.04329e-08,0.001,0,1,1,2
FIBCD1,7.36478228880464e-06,,0.0285224169669634,1.65905e-05,0.001,0,1,1,2
DCAF15,1.7655498866008747e-05,,0.0124700556852674,9.67934e-05,0.001,0,1,1,2
PPP3CA,1.767012826484398e-05,,0.0138825002515574,8.70227e-05,0.001,0,1,1,2
FAH,7.779120210415488e-05,,0.0234574477728149,0.000254537,0.001,0,1,1,2
ADI1,0.0001068211131989,,0.0029326491879683,0.00287154,0.001,0,1,1,2
ADH5,0.0001227985254747,,0.0340767053500921,0.00028752,0.001,0,1,1,2
CETN3,0.0002519325105104,,0.0235940157538969,0.000908733,0.001,0,1,1,2
C12orf60,0.000542312819617,,0.0382402208829288,0.00129997,0.001,0,1,1,2
SEMA6B,0.0006082660434644,,0.0044636311926321,0.0126378,0.001,0,1,1,2
LTK,0.0008214620463462,,0.0084685332476329,0.00928145,0.001,0,1,1,2
GSTA4,0.001040285044867,,0.0342552090185113,0.00298035,0.001,0,1,1,2
MYEF2,0.0012114300304562,,0.0244618243211736,0.00494215,0.001,0,1,1,2
CNOT8,0.0012235608089261,,0.0174893115035748,0.00698939,0.001,0,1,1,2
LIMK1,0.001466515792397,,0.0033359731354968,0.0448209,0.001,0,1,1,2
UQCC3,0.0015109682011643,,0.0183471746287587,0.00842515,0.001,0,1,1,2
SERPINA4,0.0015696376965878,,0.0111556202114977,0.0144573,0.001,0,1,1,2
SMR3A,0.0016270618279084,,0.0154643196239916,0.0108554,0.001,0,1,1,2
ABCD2,0.0017649530778907,,0.0280534634351808,0.00655247,0.001,0,1,1,2
SEZ6L2,0.0017690470631392,,0.0094199898699255,0.0195643,0.001,0,1,1,2
SYBU,0.002385905321158,,0.0235085505033498,0.010955,0.001,0,1,1,2
FGF3,0.0025378626081578,,0.0366161920872716,0.00753769,0.001,0,1,1,2
PCP4L1,0.0028582406309513,,0.0181124912468491,0.0174147,0.001,0,1,1,2
PPME1,0.0029151464087482,,0.0494519105309172,0.00652133,0.001,0,1,1,2
HSD11B1L,0.0032367762150835,,0.0158362162644886,0.0229095,0.001,0,1,1,2
CSTF3,0.003458853624786,,0.0171838470091727,0.0227521,0.001,0,1,1,2
RNF19A,0.0036058758175415,,0.0496613965976344,0.00825111,0.001,0,1,1,2
LHX6,0.0040112615348003,,0.0399345610802535,0.0115726,0.001,0,1,1,2
ELN,0.0042061129648697,,0.0139045098514274,0.0350684,0.001,0,1,1,2
ZNF584,0.0044131516300828,,0.0128127813279558,0.040183,0.001,0,1,1,2
TBC1D30,0.0047540736237402,,0.0251182902264185,0.0223,0.001,0,1,1,2
CADM4,0.00479075957306,,0.0245870741298075,0.0229812,0.001,0,1,1,2
MCMDC2,0.0049477497075493,,0.0226400936652289,0.025887,0.001,0,1,1,2
LETM2,0.0050637771017555,,0.0167612654929666,0.0358984,0.001,0,1,1,2
CNTROB,0.0050950320125267,,0.0122616753109096,0.0494157,0.001,0,1,1,2
EP400,0.0053477347289512,,0.0214784312977888,0.0298046,0.001,0,1,1,2
SERINC3,0.0058411971690556,,0.0181744561476236,0.0389408,0.001,0,1,1,2
PRR19,0.0059532739274058,,0.0227234245324538,0.0318263,0.001,0,1,1,2
ARHGAP24,0.0069482204027373,,0.030239432232868,0.0285233,0.001,0,1,1,2
EIF4EBP3,0.0071241742622088,,0.0255456516591478,0.0347424,0.001,0,1,1,2
MTR,0.0073044442019994,,0.0281516710389504,0.0324394,0.001,0,1,1,2
TAGLN,0.0083991138649056,,0.0244103075265562,0.0438951,0.001,0,1,1,2
METRNL,0.0084189381755235,,0.0482731922801727,0.0222565,0.001,0,1,1,2
AKR1A1,0.0085168911449902,,0.0219400448972037,0.0496232,0.001,0,1,1,2
FIZ1,0.0121988149478391,,0.0466376210977389,0.0353032,0.001,0,1,1,2
STEAP1,0.0133256186077349,,0.0385277561048226,0.0473349,0.001,0,1,1,2
MOCOS,0.0135893338720972,,0.0376943885176417,0.0494927,0.001,0,1,1,2
S100A14,0.0160738890906225,,0.0464030696252016,0.0488632,0.001,0,1,1,2
