COHORT: INITIAL-DISCOVERY; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	6.745826454311679	1.521584043412063e-11	10.817704054753682	0.013579	1.52885e-12	15.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	3.54451e-05	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
LIG3	3.710621333681138	0.0002067511719917333	3.6845520199224535	0.00810369	0.00932556	15.0	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
RPS20	3.707612055352238	0.00020922284611920927	3.679390894366084	NA	0.000209231	NA	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
KIF2C	3.6936819517457797	0.0002210302250323165	3.6555483341555868	0.00889171	0.00912182	7.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
NOP53	3.687502273292728	0.00022646607109129286	3.644996854320354	0.0125628	0.00654824	28.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
IPO4	-3.6302386376643283	0.00028315930287898074	3.5479691655485293	0.133618	0.000279107	27.0	208.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
MET	-3.6053741125021395	0.00031170356419346195	3.5062582317279625	0.0267918	0.00392371	24.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
IRX6	3.555444357651213	0.00037734080028505544	3.4232662338112863	0.151714	0.000324811	12.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
DCLK1	-3.498255056862575	0.0004683130389259552	3.3294637502795053	NA	0.000468309	NA	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
XKR7	-3.4472836097403734	0.0005662538150999665	3.246988858937113	0.000483158	0.165971	13.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
TRMT12	3.428928175581957	0.0006059698666936803	3.2175489716324517	0.0331734	0.00654289	10.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
ENDOU	-3.3940092674458406	0.0006887736168023578	3.1619234967120624	0.0169943	0.0158211	13.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
ZFP42	3.3874744846349225	0.0007053927806916772	3.1515689894116705	0.0323569	0.00803399	8.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
MYH14	-3.3741117666609135	0.0007405429358413843	3.130449756510202	0.157651	0.000783111	57.0	449.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
OR4C13	3.3488395683824077	0.0008115077066986337	3.0907073514251833	0.0023841	0.0894495	7.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
LBX2	3.2814837313569623	0.001032624812307177	2.9860574437681433	0.117509	0.00210226	15.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
CFAP52	-3.2776103878589415	0.0010468978695832582	2.9800956839752852	0.0152275	0.027222	13.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
RAP1A	3.275585177440901	0.001054433124638112	2.9769809593305077	NA	0.00105443	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
RIPOR2	3.2625408327957666	0.0011041826446497346	2.956959083307171	0.0018959	0.131591	28.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	0.00129614	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
GSTM5	-3.212265936160894	0.0013169241007916627	2.8804392543147705	0.00217477	0.139525	7.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
CELA3B	-3.1833940578756623	0.001455593689894375	2.836959835780219	0.393721	0.000263143	8.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
SERINC1	-3.159362823708692	0.0015811451431014547	2.8010282616586952	0.0612592	0.00942081	7.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
ABHD8	3.152941420316579	0.001616342391348223	2.7914666368024093	0.0144809	0.0440266	9.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	INITIAL-DISCOVERY
 
COHORT: INITIAL-DISCOVERY; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.370528805920026	5.73602377712306e-17	16.24138905708713	1.21058e-05	8.51999e-14	17.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	3.54451e-05	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
IPO4	-3.7129696099680873	0.00020484149213461617	3.6885820692784255	0.0275843	0.00230542	30.0	209.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
RPS20	3.707612055352238	0.00020922284611920927	3.679390894366084	NA	0.000209231	NA	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
ANGEL2	-3.6296690941310974	0.0002837847812669795	3.5470108984803526	0.0097522	0.0108143	11.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
DCDC2C	3.6259783076115264	0.00028786952098877844	3.540804314861787	3.77936e-05	0.313769	10.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
IRX6	3.555444357651213	0.00037734080028505544	3.4232662338112863	0.151714	0.000324811	12.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
LIG3	3.5529208375801113	0.00038097909404567	3.419098855268504	0.0290087	0.00449421	16.0	158.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
KBTBD13	-3.550042543567994	0.00038516890073859495	3.414348785885157	0.00961947	0.0150445	14.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
SBK1	3.5066791208543875	0.0004537359395883051	3.343196819705305	NA	0.000453733	NA	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
TRMT12	3.428928175581957	0.0006059698666936803	3.2175489716324517	0.0331734	0.00654289	10.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
XKR7	-3.4044784064495905	0.0006629054124654481	3.178548435056566	0.000483158	0.185263	13.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
PHF23	3.3536012039595313	0.0007976723724732598	3.0981754495561344	0.00472608	0.0551645	10.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
STIMATE	3.3404094772047377	0.0008365494728743574	3.0775083701098374	0.0973217	0.00216889	6.0	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	INITIAL-DISCOVERY
