COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	6.83549526621479	8.172219756748338e-12	11.087659963397893	0.013579	0.0214830395852572	1.52885e-12	15.0	16.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
STK38L	4.1342015176542555	3.561908393212512e-05	4.4483172541130624	NA	0.0001667716361832	0.0373442	NA	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
MET	-4.098580332974745	4.156919643690463e-05	4.381228370643923	0.0267918	0.0454807865751501	0.00392371	24.0	97.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
CFAP52	-3.9787754512570674	6.92711253137517e-05	4.159447757164906	0.0152275	0.0240580978725804	0.027222	13.0	57.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
NOP53	3.6875022732927283	0.00022646607109129286	3.644996854320354	0.0125628	NA	0.00654824	28.0	NA	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
ENDOU	-3.6866507208946175	0.00022722488668900612	3.6435441044759487	0.0169943	0.112827256736117	0.0158211	13.0	35.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
IRX6	3.6587067722556483	0.0002534911745559799	3.5960371562847233	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
LAT	3.5501249029716204	0.00038504841765601164	3.414484656988301	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
SDR16C5	-3.549175628775148	0.00038643924428399573	3.4129187758628117	0.0272457	0.0428802683518319	0.0555556	6.0	38.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
FAM163B	3.4374060960876243	0.0005873143270306784	3.2311294047853876	0.187239	0.0428875769024872	0.00904981	4.0	24.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
ADORA1	3.425047997702366	0.0006146908150746745	3.211343276210829	0.500647	0.0005856064517807	0.0686536	6.0	26.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
KCTD20	-3.391523382040241	0.000695052322509764	3.1579825011336884	0.0202996	0.0222611524641467	0.204928	8.0	29.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
RASAL1	3.3891266718168227	0.0007011561229535197	3.154185269069097	0.183743	0.0103252945807353	0.0481454	23.0	85.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP1
