COHORT: META-GROUP3; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.478804268045932	7.500188127986744e-14	13.124927843018721	0.013579	0.0214830395852572	0.000258426	0.0112797	8.03039e-09	15.0	16.0	30.0	22.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
SEPTIN5	3.9649256668540374	7.341882234676517e-05	4.134192585950301	0.71969	NA	0.239243	0.000220466	0.00693884	5.0	NA	20.0	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
STK38L	3.926713229551995	8.611455107326427e-05	4.064923458106338	NA	0.0001667716361832	0.176111	0.135247	0.21416	NA	11.0	8.0	6.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
SEPT5-GP1BB	3.8803062054769657	0.00010432504112390921	3.9816114354215895	0.71969	NA	0.636501	2.02636e-05	0.00764949	5.0	NA	35.0	16.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
IRX6	3.760388880937166	0.00016964942113662177	3.7704476178791633	0.151714	0.190565384718304	0.116786	0.296839	0.00225489	12.0	49.0	39.0	24.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
IPO4	-3.7164599060836214	0.00020203368405601204	3.6945762167905376	0.133618	0.775027581507583	0.074127	0.0246311	0.0127209	27.0	127.0	61.0	43.0	185.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
RBM26	3.695481525952556	0.00021947043907362716	3.6586239675027854	0.495712	0.0818319958156027	0.0433685	0.00940593	0.22063	13.0	35.0	36.0	30.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
TRMT12	3.6267540713325945	0.0002870064073582702	3.5421084076239215	0.0331734	0.571415401452678	0.0249384	0.14095	0.0892997	10.0	41.0	17.0	18.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
CFAP52	-3.494279167733667	0.00047534367978329365	3.3229922761381303	0.0152275	0.0240580978725804	0.407261	0.840874	0.0356564	13.0	57.0	31.0	23.0	79.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
MET	-3.4932385005259703	0.0004772001019886	3.3212994721830005	0.0267918	0.0454807865751501	0.717779	0.477655	0.00116326	24.0	97.0	52.0	44.0	165.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
EVX1-AS	3.476538941942183	0.0005079304593353104	3.2941957428228985	0.547258	NA	0.0263825	0.165757	0.00605665	15.0	NA	31.0	20.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
USP25	3.4690512486652603	0.0005222998120249358	3.2820801304650318	0.779995	0.108155520796869	0.365403	0.00371097	0.0389881	14.0	66.0	48.0	27.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
P2RY10	3.4554523826124055	0.0005493702200888973	3.260134886236163	NA	NA	NA	0.27074	0.000153462	NA	NA	NA	6.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP3
