GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.660677562687038	1.8495467933202062e-14	13.732934676609371	1.21058e-05	1.23743257136136e-07	0.000312011	17.0	18.0	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LSR	4.212103283192935	2.530038057742483e-05	4.596872945961241	0.050274	0.0172658535488151	0.00310709	25.0	72.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
EEA1	4.197900355406155	2.6940111425038466e-05	4.56960061235545	0.605938	0.0384040900142764	2.80507e-06	27.0	84.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLEU7	4.0767310368592975	4.567327223861572e-05	4.3403378724686394	0.00979373	0.080086249114731	0.00637429	6.0	13.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RNF114	4.048936792968685	5.145083671914112e-05	4.288607558130876	0.168915	0.0002560120421331	0.0475803	9.0	23.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TMEM9B	3.8794068447029133	0.00010471149222092321	3.9800056513274904	NA	0.0010257315461657	0.027599	NA	18.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLEU7-AS1	3.7553871443174947	0.0001730737367217323	3.761768829653161	0.00979373	NA	0.00637429	6.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NUP210	3.752439951735348	0.0001751217869893205	3.7566598197610395	0.0708268	0.0149254576408459	0.0239062	59.0	199.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SNX27	-3.707816647192864	0.00020905392901848137	3.6797416657839284	0.00239329	0.189380339023877	0.0381537	9.0	26.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
STK38L	3.6186137755105636	0.0002961852811525541	3.528436527425395	NA	0.0001667716361832	0.176111	NA	11.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LRRK2	3.585262395091772	0.00033673946534124114	3.4727059819917088	0.0024996	0.0502074479199019	0.219341	56.0	179.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HSPA1L	-3.559473624405992	0.00037159884963527257	3.429925639128952	0.0247139	0.0913506985527003	0.0256791	15.0	45.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	3.3584257458600333	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DSEL	3.445618892244423	0.0005697532710257144	3.2443131728007857	0.0627001	0.044048192483626	0.0363449	25.0	80.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GCNT2	-3.419933399018605	0.0006263646878780049	3.2031727341749026	0.0728801	0.0480792745810491	0.0312992	29.0	117.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NIPA2	3.418064038926297	0.0006306826585424768	3.2001891103462254	0.129733	0.103614211177783	0.00547746	5.0	23.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
STEAP1	3.41146900283742	0.0006461384735498295	3.189674398639562	NA	0.007836350341726	0.0303487	NA	21.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SST	-3.4031930832310606	0.0006660319494106884	3.176504937316252	0.0069391	0.0345930445313883	NA	4.0	10.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
UMODL1	-3.390371167047166	0.0006979805256392217	3.1561566944619557	0.0157957	0.0317920839346485	0.189626	68.0	180.0	136.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CENPF	-3.3482367617037485	0.0008132750039919797	3.089762575536044	0.137671	0.191548919272409	0.00262304	75.0	251.0	136.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GPLD1	-3.337437902931062	0.0008455461367399985	3.0728626903903877	0.0442526	0.0252248900122233	0.125776	30.0	90.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
AGAP14P	3.287773486285212	0.001009830532456643	2.995751502449231	NA	NA	0.00100982	NA	NA	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ABCC9	3.267879576647883	0.0010835645937077175	2.9651451943075515	0.257296	0.0170449934197614	0.0322263	12.0	58.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DCAF1	-3.2610951303661384	0.0011098279924468175	2.9547443254653807	0.616782	0.0002538026319691	0.136336	10.0	66.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLL4	3.2300209109487197	0.0012378116442777472	2.9073454361513766	0.212619	0.003151278857534	0.162842	12.0	48.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SLC39A7	-3.225388278959682	0.00125801924976349	2.900312713420082	0.178547	0.0058162629487339	0.137987	8.0	35.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PSG7	3.222515335946073	0.0012707036317675142	2.8959557288295947	0.00637805	0.872611611146686	0.00706998	22.0	89.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
IFNGR1	3.2122159402072787	0.001317153315711799	2.8803636705262208	0.0325564	0.602737176220617	0.00366368	11.0	38.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ANKRD55	3.208237651781471	0.0013355109165809548	2.874352557667698	0.00061376	0.174651055325589	0.438948	17.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SMR3A	3.202930950571987	0.0013603659393435412	2.8663442504090693	NA	0.0172556203487958	0.0316806	NA	12.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
INTU	3.1866570440651723	0.0014392732731009273	2.8418567392585565	0.0263252	0.0790849588137064	0.123063	24.0	72.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RINT1	-3.1781341097685605	0.0014822617212167815	2.829075106717765	0.0022739	0.307189396211423	0.152245	18.0	59.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NAALADL1	3.173601008473942	0.0015056050362059644	2.822288941211716	0.0668219	0.0171607065574697	0.200291	28.0	92.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ENPP2	-3.1405304787290924	0.0016864215863233883	2.7730338474298737	0.22101	0.0390062131945464	0.0314294	20.0	74.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PRTN3	-3.120196062466044	0.0018073070174211103	2.742968065122561	0.0245568	0.370916264399475	0.0237422	13.0	24.0	21.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DPYSL4	3.119874417390827	0.0018092815810421144	2.7424938380178574	0.0270465	0.146747130032951	0.0815406	19.0	55.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ERICH3-AS1	-3.106710479357882	0.0018918157913704113	2.723121153709128	0.0401026	NA	0.0192395	13.0	NA	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MPP2	-3.1035460052790595	0.001912165034233138	2.718474627560071	0.013579	0.161874664365432	0.131427	11.0	54.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ASMT	-3.1028325133986914	0.0019167808476046903	2.717427538721685	NA	0.0194214742490497	0.0402935	NA	52.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SYT17	3.093591474933939	0.0019774958005549853	2.70388443010474	0.295989	0.0126118570270291	0.0689659	15.0	52.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PGAP3	3.0906782786298717	0.0019969988097292136	2.6996221939816705	0.321249	0.089672228787389	0.00771722	16.0	42.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
EIF3F	3.0881742383945157	0.0020139035551531123	2.6959613314327147	0.322481	0.0574392707110929	0.0139111	10.0	39.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CGN	3.0782718961568016	0.002082048553072504	2.6815091470226005	0.0410143	0.0699483898157882	0.139921	46.0	132.0	94.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF781	3.061343646409773	0.0022034603972028344	2.656894750659321	0.245128	0.0346112019874203	0.0426359	8.0	32.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
METAP1D	-3.043139902285074	0.002341234597533215	2.630555066735056	0.216454	0.0240754031319211	0.0752507	11.0	31.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF322	3.0334921916559843	0.0024174096714656467	2.6166497447183565	NA	0.0071440108193779	0.109609	NA	5.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLL1	3.0307329926041344	0.002439608812119424	2.6126798065949037	0.0335482	0.746789282702042	0.0050938	19.0	60.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF184	3.0278218484283035	0.0024632325526205857	2.608494584688621	0.047245	0.0058553254772467	0.613928	5.0	33.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TPP1	3.009348987990972	0.0026180819398137593	2.582016765175607	0.111197	0.428005926617935	0.00470006	18.0	59.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
C11orf54	3.007744729586284	0.002631941140001865	2.5797238273902363	NA	0.0348059126708307	0.0321145	NA	25.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NOCT	2.9994734004266705	0.0027044673709013273	2.5679182539050323	0.0767831	0.142112758283144	0.0502759	12.0	27.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
