GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
CAPN10,3.602498596644737e-07,,0.0051155550562002,3.75213e-06,0.01,0,1,1,2
RHOT1,0.000159767502529,,0.0424667355346666,0.00030719,0.01,0,1,1,2
PLEKHG1,0.000194443749321,,0.0016655134497716,0.00970222,0.01,0,1,1,2
AUNIP,0.0001959547413293,,0.0238345148633997,0.000683722,0.01,0,1,1,2
SLC36A3,0.0003924218564521,0.0248414,0.0014023333655381,,0.01,1,1,0,2
ANGEL2,0.0005179636679107,,0.0042122082193673,0.0112198,0.01,0,1,1,2
GALNT14,0.0013706362211728,0.0337169,0.0041131190727847,,0.01,1,1,0,2
BPIFB3,0.0034404667490038,0.785925,0.0338754176473832,0.00222361,0.01,0,1,1,2
CCBE1,0.005870459991178,0.032361,0.0219944926451674,,0.01,1,1,0,2
SCPEP1,0.0200854195848909,0.0385933,0.416098383514611,0.0340629,0.01,1,0,1,2
