ALL_MISSENSE_SNPEFF
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
DCAF1	35.797188026696524	9.120474215568938e-05	0.211237	0.473686	0.028877	0.0342621	0.0001702600650022	25.0	10.0	17.0	79.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
DCAF15	39.0509586778346	2.4872143498677664e-05	0.0002336	0.282142	0.00982244	0.161699	0.0316464332096389	30.0	13.0	22.0	85.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EEA1	38.76496061985915	2.7910433140960912e-05	5.51316e-06	0.710964	0.0515888	0.410951	0.0459940953463497	50.0	27.0	34.0	149.0	84.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
GBA	122.65979234530258	1.4588937963449074e-21	0.000314406	1.05348e-05	0.246645	2.1519e-10	1.31750719223334e-08	32.0	17.0	24.0	76.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
HTRA1	37.49414353556338	4.6467643965687186e-05	0.313741	0.201669	1.81676e-06	0.175279	0.358106589043256	32.0	8.0	14.0	61.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIF9	36.08960788800523	8.124285866687341e-05	7.45786e-08	0.712456	0.374351	0.913184	0.80173649703787	48.0	25.0	33.0	122.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LRRK2	42.908278917244026	5.164355514878653e-06	0.0380867	0.72484	0.620023	0.0134108	2.09752736968216e-06	116.0	53.0	70.0	334.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR1G1	41.611699752517566	8.790401373821402e-06	0.808424	0.729023	1.08428e-06	0.031243	0.0461168466046115	15.0	10.0	12.0	43.0	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR2T8	40.83088845727466	1.2089117433766015e-05	0.00230144	0.0166115	0.121345	0.112891	0.0025977389864544	18.0	5.0	12.0	51.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PAQR5	35.42378805669341	0.00010568501317741869	0.0726946	0.306817	0.0124985	0.198907	0.0003663807330906	16.0	11.0	12.0	52.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PPFIBP2	35.19885021209943	0.00011547395020994115	0.0571223	0.564391	0.327853	0.000221864	0.0096942680878741	68.0	47.0	55.0	190.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPT5-GP1BB	39.51262274774831	3.9477750768390636e-06	0.677159	0.758649	4.07702e-07	0.0125565	NA	35.0	5.0	16.0	92.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	38.753388499107075	5.461187303256172e-06	0.35482	0.758649	1.5395e-06	0.00927641	NA	20.0	5.0	8.0	53.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	35.59514262922158	2.0824198308047364e-05	0.165171	NA	0.188783	0.022298	2.68194825381318e-05	8.0	NA	6.0	33.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRAP1	35.30960081932956	0.00011054783851909369	0.418998	0.423519	4.60776e-06	0.718634	0.0366045560092946	83.0	49.0	60.0	225.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TREML1	46.696381747367965	1.0722292737666164e-06	0.747502	0.515114	0.000811719	3.64205e-05	0.0063641764659611	14.0	9.0	6.0	43.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
 
ALL_LOF_HC_LOFTEE
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ACTN3	20.99141630056146	0.021153499883682366	0.590877	0.421302	0.000707147	0.785838	0.199911846946882	8.0	6.0	6.0	25.0	17.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
AUNIP	46.3449233190658	2.0437342433380142e-07	3.12638e-08	NA	0.115899	1.0	0.0238345148633997	4.0	NA	7.0	13.0	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	43.26219169920705	7.839906381513776e-07	3.75213e-06	NA	0.0532885	0.394394	0.0051155550562002	4.0	NA	4.0	18.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
