GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	45.35252965665478	3.3584315718584156e-09	NA	NA	NA	0.0322445	4.39913883099052e-09	NA	NA	NA	3.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
AUNIP	46.3449233190658	2.0437342433380142e-07	3.12638e-08	NA	0.115899	1.0	0.0238345148633997	4.0	NA	7.0	13.0	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	43.26219169920705	7.839906381513776e-07	3.75213e-06	NA	0.0532885	0.394394	0.0051155550562002	4.0	NA	4.0	18.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RHOT1	40.07808154907954	3.0981886296934184e-06	0.00030719	NA	0.00156732	0.0969486	0.0424667355346666	2.0	NA	2.0	6.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PI3	23.05003249620806	9.87982016686927e-06	NA	NA	NA	NA	9.87982016686928e-06	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FAM98A	28.147796681372967	1.1641506736694438e-05	NA	NA	NA	0.093793	8.23404402361394e-06	NA	NA	NA	5.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KAT8	20.82816458135444	3.0006927368431095e-05	NA	NA	NA	NA	3.00069273684311e-05	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TOX2	20.2540079624492	3.9985087685434615e-05	NA	NA	NA	NA	3.99850876854346e-05	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RSG1	17.811134864653734	0.00013563170022260005	NA	NA	NA	NA	0.0001356317002226	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USB1	17.549587167003757	0.00015458080579420003	NA	NA	NA	NA	0.0001545808057942	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LOC105371046	30.568140681518198	0.00016766209610463473	0.000350223	0.600885	0.369985	0.00295728	NA	3.0	2.0	2.0	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LY6K	17.26741502025824	0.00017800347059650017	NA	NA	NA	NA	0.0001780034705965	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RBMXL1	16.985990375137018	0.00020489863027899996	NA	NA	NA	NA	0.000204898630279	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
MRPL20	16.80610019121838	0.00022418250225779998	NA	NA	NA	NA	0.0002241825022578	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FMNL1	16.163569999510834	0.00030911876574339967	NA	NA	NA	NA	0.0003091187657434	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
BPIFB3	24.927924051394886	0.0003521072603126324	0.00222361	NA	NA	0.00775698	0.22398491968661	2.0	NA	NA	5.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
