GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	9.887466111709266	4.7181895780679894e-23	22.32622461303611	1.21058e-05	1.23743257136136e-07	8.51999e-14	17.0	18.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
STK38L	4.1342015176542555	3.561908393212512e-05	4.4483172541130624	NA	0.0001667716361832	0.0373442	NA	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ZNF184	3.907766310387973	9.31533398874976e-05	4.030801569445062	0.047245	0.0058553254772467	0.0425017	5.0	33.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LSR	3.7314683776466664	0.00019036690924193635	3.7204085411542573	0.050274	0.0172658535488151	0.0336307	25.0	72.0	149.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
NUP210	3.702331401165321	0.0002136273205878029	3.670343206597696	0.0708268	0.0149254576408459	0.0298666	59.0	199.0	370.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
IRX6	3.6587067722556483	0.0002534911745559799	3.5960371562847233	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
UMODL1	-3.5732776626802654	0.00035254059101209114	3.452790871757207	0.0157957	0.0317920839346485	0.103422	68.0	180.0	348.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PARP9	3.5538384088930837	0.00037965240555065265	3.42061384400399	0.101108	0.016752720582394	0.0336845	27.0	78.0	135.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LAT	3.5501249029716204	0.00038504841765601164	3.414484656988301	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
SDR16C5	-3.549175628775148	0.00038643924428399573	3.4129187758628117	0.0272457	0.0428802683518319	0.0555556	6.0	38.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	3.3584257458600333	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
RNF114	3.4938935398531945	0.00047603080540856195	3.3223649418466157	0.168915	0.0002560120421331	0.307855	9.0	23.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PPFIBP2	3.4609898026933372	0.0005381931980383991	3.2690617953739305	0.564391	0.0096942680878741	0.00462977	47.0	105.0	212.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
KBTBD13	-3.375960366576533	0.000735585147558449	3.1333670483280986	0.00961947	0.408341038379032	0.0150445	14.0	23.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LRRK2	3.366339556323141	0.0007617287981701114	3.1181996250158504	0.0024996	0.0502074479199019	0.395826	56.0	179.0	395.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
OR51I1	3.353379659409487	0.000798311202619825	3.097827776275941	0.379239	0.011547129402261	0.0162507	14.0	36.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
STIMATE	3.3404094772047372	0.0008365494728743574	3.0775083701098374	0.0973217	NA	0.00216889	6.0	NA	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ADORA1	3.3186672575414216	0.0009044813692480448	3.043600374427274	0.141156	0.0020121481610491	0.234768	7.0	27.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ASPSCR1	3.3014814795973235	0.000961756841032358	3.0169347158482465	0.662753	0.0792234611149891	0.000420296	41.0	92.0	201.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
MAGT1	3.259496707226656	0.0011161007610322687	2.9522965957345226	NA	NA	0.00111613	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ZNF433-AS1	3.257989102885313	0.001122047149402985	2.94998889326229	0.433162	NA	0.000131465	31.0	NA	159.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
IPO4	-3.2368823979457915	0.001208432006110975	2.917777780673413	0.0275843	0.722205463198752	0.00230542	30.0	128.0	209.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
C5orf38	-3.2340320634460906	0.0012205575190642403	2.913441749533482	0.151215	0.0460500114739601	0.0299071	12.0	18.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PEBP4	-3.226172671135703	0.0012545764391669288	2.901502872733542	0.172283	0.132201599735495	0.00657749	5.0	20.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
IQCF3	3.218918391786659	0.0012867510031754153	2.89050548449347	0.0723031	0.0578301678625724	0.0599526	13.0	22.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PTGDR	-3.2149923630816173	0.0013044799264216144	2.884562599516156	0.180814	0.0661833778255633	0.0167066	15.0	38.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
DCDC2C	3.2025939092584164	0.0013619588622187915	2.8658360100305704	3.77936e-05	0.675108215684952	0.313769	10.0	18.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
